Investing, Homework 1, Assess and optimize a portfolio, http://wiki.quantsoftware.org/index.php?title=CompInvestI_Homework_1, Oct 5
Investing, Homework 2, Event Studies, http://wiki.quantsoftware.org/index.php?title=CompInvestI_Homework_2, Oct 12
Investing, Homework 3, Build a Market Simulator, http://wiki.quantsoftware.org/index.php?title=CompInvesti_Homework_3,  Oct 19
Investing, Homework 4, Event Study into Simulator, http://wiki.quantsoftware.org/index.php?title=CompInvesti_Homework_4, Oct 26
Investing, Homework 5, Implement Bollinger Bands, http://wiki.quantsoftware.org/index.php?title=CompInvesti_Homework_5, Nov 2
Investing, Homework 6, Event Study with Bollinger Bands, http://wiki.quantsoftware.org/index.php?title=Comp Investi_Homework_6, Nov 9
Investing, Homework 7, Back Test with Bollinger Bands, http://wiki.quantsoftware.org/index.php?title=CompInvesti_Homework_7, Nov 9
Investing, Bonus, Challenge 1, http://wiki.quantsoftware.org/index.php?title=Challenge_Election, Dec 31
Arguing, All, quizzes, https://class.coursera.org/thinkagain-004/quiz?quiz_type=quiz, Dec 31
Algorithms, Week 2 Quiz, "Sorting", https://class.coursera.org/algs4partI-006/quiz, Oct 26
Algorithms, Week 3 Quiz, "Sorting", https://class.coursera.org/algs4partI-006/quiz, Nov 3
Algorithms, Programming Assignment 2, "Queues", https://class.coursera.org/algs4partI-006/assignment, Oct 26 
Algorithms, Programming Assignment 3, "Colinear", https://class.coursera.org/algs4partI-006/assignment , Nov 2 
